Afghanistan,afghanistan,821,0,0.025250797709446302,0.0071771552307484015,6.844157877636511,0.2911084043848965,0.17417783191230207,0.11814859926918392,0.09500609013398295,0.08647990255785627,0.07186358099878197,0.07673568818514007,0.047503045066991476,0.03654080389768575
Albania,albania,836,1,0.06889959020298483,0.018703880914407223,50.9569107850095,0.2930622009569378,0.13516746411483255,0.08971291866028708,0.09688995215311005,0.10406698564593302,0.09928229665071771,0.061004784688995214,0.07177033492822966,0.04904306220095694
Algeria,algeria,866,1,0.08159181484270034,0.019224531691044395,71.4599980798874,0.3729792147806005,0.1905311778290993,0.10392609699769054,0.09584295612009237,0.07159353348729793,0.04503464203233257,0.03117782909930716,0.04387990762124711,0.04503464203233257
Andorra,andorra,492,1,0.07823535155738591,0.018903342366756993,65.7015916451847,0.2459349593495935,0.16463414634146342,0.1524390243902439,0.14634146341463414,0.08130081300813008,0.06707317073170732,0.046747967479674794,0.056910569105691054,0.03861788617886179
Angola,angola,679,1,0.058504150507943,0.01553428244149894,36.74033983962383,0.31075110456553756,0.21796759941089838,0.10014727540500737,0.0780559646539028,0.08394698085419734,0.041237113402061855,0.05891016200294551,0.06332842415316642,0.045655375552282766
Antarctica,antarctica,1,2,0.7244893297648223,0.15533333333333332,5634.220000000001,1,0,0,0,0,0,0,0,0
Antigua and Barbuda,antigua-and-barbuda,326,1,0.05366673198925636,0.016443081117927753,30.915773269599935,0.3343558282208589,0.18098159509202455,0.13803680981595093,0.09202453987730061,0.06134969325153374,0.05521472392638037,0.03374233128834356,0.0705521472392638,0.027607361963190184
Argentina,argentina,781,1,0.08955622107448002,0.024146820315834407,86.09170983062856,0.3687580025608195,0.15364916773367476,0.08066581306017925,0.06914212548015365,0.0678617157490397,0.06402048655569782,0.07298335467349552,0.07042253521126761,0.052496798975672214
Armenia,armenia,796,0,0.04496597371096647,0.01212283640424344,21.703901921668653,0.3379396984924623,0.18090452261306533,0.11180904522613065,0.08040201005025126,0.09170854271356783,0.06030150753768844,0.05527638190954774,0.04396984924623116,0.03768844221105527
Australia,australia,889,0,0.05198876870618192,0.013395575553055868,29.012748769171008,0.34308211473565803,0.17772778402699663,0.12823397075365578,0.10911136107986502,0.06299212598425197,0.047244094488188976,0.04161979752530934,0.043869516310461196,0.043869516310461196
Austria,austria,864,1,0.05925540882816596,0.016813786008230455,37.68997170781894,0.3101851851851852,0.2175925925925926,0.14930555555555555,0.06712962962962964,0.07523148148148148,0.05555555555555555,0.046296296296296294,0.041666666666666664,0.03587962962962963
Azerbaijan,azerbaijan,815,0,0.0493694596890108,0.01470347648261759,26.16294102149123,0.3226993865030675,0.16932515337423312,0.1570552147239264,0.08834355828220859,0.09079754601226994,0.06503067484662577,0.046625766871165646,0.03190184049079755,0.026993865030674847
Bahamas,bahamas,555,0,0.04308950201284568,0.011781781781781778,19.93025079133187,0.3279279279279279,0.16936936936936936,0.1009009009009009,0.1063063063063063,0.07747747747747748,0.08288288288288288,0.05765765765765766,0.03423423423423423,0.04144144144144144
Bahrain,bahrain,880,1,0.059658506468210484,0.016696969696969696,38.204504132231385,0.2818181818181818,0.13863636363636364,0.1375,0.10795454545454546,0.08295454545454546,0.10568181818181818,0.06704545454545455,0.04431818181818182,0.03409090909090909
